nome,cpf,idade,data,endereco,estado
Ana Laura Da Rosa,85764605084,96.0,02/04/2046,"núcleo maysa pires, 251 monte azul 72867120 moura / rs",PR
Maria Alice Gomes,80280100867,102.0,16/10/1922,"distrito de cardoso, 2 vista alegre 53405-943 monteiro / mg",GO
Otávio Da Costa,33311598112,96.0,28/09/2042,"recanto danilo silveira, 22 biquinhas 18966541 vieira das pedras / go",MT
Larissa Da Luz,23802732517,96.0,19/07/2039,"sítio de martins, 53 heliopolis 88196-275 jesus das flores / sc",MS
Srta. Daniela Campos,79658182136,96.0,12/07/2026,"lagoa de aragão, 78 lindéia 14750928 caldeira de porto / rj",RS
Clarice Gomes,30967713646,96.0,08/05/2039,"sítio luiz gustavo martins, 1 vila são rafael 67136-358 rezende do sul / ac",MT
Cauã Gonçalves,42828264846,96.0,08/03/1900,"ladeira andré fogaça, 5 inconfidência 38376533 da cruz / ma",RS
Camila Barbosa,67119044189,96.0,27/01/2027,recanto isis barros padre eustáquio 15086239 dias de da rosa / rr,TO
João Miguel Nunes,46852405512,96.0,01/05/2035,"feira de teixeira, 32 novo santa cecilia 84579-242 campos de da luz / se",AM
Marcelo Santos,57192737605,96.0,01/04/2050,"morro sophia da luz, 62 guaratã 28758-441 da cunha verde / rn",PR
Alexia Nascimento,20131157007,96.0,17/04/2028,"jardim de pereira, 68 barroca 49187577 fernandes de da rosa / rr",MT
Lorena Pereira,52097587805,98.0,05/08/1926,"chácara pereira, 733 álvaro camargos 88628-830 lopes / al",GO
Dra. Ana Carolina Fogaça,17980915542,96.0,19/06/2029,"trecho de santos, 6 cônego pinheiro 1ª seção 48724820 cunha / df",MT
Dr. Luiz Miguel Moraes,14063724747,96.0,,,SC
Brenda Gonçalves,42565232660,96.0,17/02/2033,"área nascimento, 96 mangabeiras 32185-085 caldeira / sp",AC
Mirella Pereira,32220003094,84.0,26/05/1940,lagoa gomes vila jardim são josé 42895980 lopes / rs,CE
Maria Luiza Novaes,79835167959,96.0,,,AM
Juliana Oliveira,70832824175,96.0,13/09/2044,"trecho da cruz, 73 minas caixa 79027698 nogueira / al",RO
Manuela Mendes,87829299837,96.0,,,AM
Alexandre Cardoso,30580844390,100.0,12/08/1924,"travessa da paz, 66 santo andré 80622-465 cardoso / go",RS
Catarina Barros,80924355486,96.0,19/04/2045,"núcleo da rocha, 1 carmo 31891368 castro / ce",DF
Daniela Rodrigues,74967125555,96.0,24/03/2033,"área de lima, 52 diamante 37357563 silveira do sul / ap",RS
Sr. Luiz Fernando Souza,85494126362,96.0,08/01/2030,"fazenda de oliveira, 66 califórnia 82377615 da conceição do oeste / ac",GO
Thiago Melo,44259620615,96.0,01/10/2039,"alameda almeida, 563 vila maria 50053960 farias / rr",RS
Mirella Moura,89332322146,109.0,08/09/1915,"viela de da mata, 35 graça 73356-234 costa do sul / to",MS
Yasmin Vieira,79139287708,96.0,10/08/1901,"rua ana carolina nunes, 4 santa monica 49862120 moraes de mendes / pb",GO
Gustavo Santos,47850869245,96.0,12/05/2038,"loteamento nicole da conceição, 10 pantanal 68802-243 jesus dos dourados / ap",MG
Henrique Martins,69750797033,96.0,17/08/2030,"recanto yago oliveira, 59 aarão reis 84045633 porto / sc",MT
Maria Sophia Souza,49798721907,96.0,,,SE
Yasmin Da Mata,29864555103,91.0,11/10/1933,"praça teixeira, 80 alto das antenas 65257-074 viana / sp",SE
Natália Rocha,51125499561,105.0,23/08/1919,"praça renan pires, 2 são gabriel 98091-470 pires grande / ce",RO
Davi Lucca Rezende,29048127076,96.0,22/10/2039,"morro ana júlia nunes, 63 bom jesus 33735490 araújo dos dourados / rj",RO
Cauê Gonçalves,96019979426,96.0,23/04/2039,"passarela thiago almeida, 97 gutierrez 45863-740 rezende / sp",RR
Brenda Carvalho,27505540277,95.0,19/07/1929,vila de pinto nossa senhora da aparecida 44569-021 melo / rn,PR
Srta. Marina Monteiro,52066928896,96.0,10/11/2043,"quadra de santos, 97 castelo 93344-180 silva / rr",AP
Nicolas Santos,68795214974,99.0,02/08/1925,"colônia ramos, 54 vila atila de paiva 59208-181 oliveira / ap",SC
Gabriela Da Cunha,94994533833,86.0,03/04/1939,"distrito de rezende, 4 lagoinha leblon 08816-064 viana / se",TO
Rebeca Teixeira,78905426863,96.0,21/09/2037,"trecho de ferreira, 755 jardim guanabara 70065-500 lima de almeida / mg",RN
Erick Fogaça,12955942066,96.0,28/07/2040,avenida de moura marieta 1ª seção 30531337 da rocha de fogaça / pe,SC
Maria Alice Lopes,49190308181,96.0,06/11/2025,"pátio joão vitor pires, 42 ipe 63397693 da conceição alegre / es",PA
Caio Monteiro,40974302568,110.0,13/12/1914,"trevo da cruz, 98 santa monica 89955860 ramos dos dourados / ro",CE
Renan Moreira,57668787561,86.0,20/04/1939,"morro da luz, 97 petropolis 73971084 lima / se",PR
Maria Luiza Pinto,78889915428,77.0,11/01/1948,viaduto ana vitória nunes jaqueline 79446-546 lopes / sc,PE
Thiago Da Cruz,74561975256,96.0,21/07/2036,"lagoa levi moura, 5 gameleira 80301420 pinto / sp",SC
Miguel Monteiro,68099738957,106.0,11/07/1918,"jardim sofia fogaça, 681 milionario 19616165 costa do norte / pe",PB
Sra. Pietra Fogaça,90296134120,96.0,,,GO
Rafael Novaes,16033071703,96.0,04/09/2044,"rua de da mota, 76 santa margarida 20216-797 almeida do campo / sp",AP
Luiz Otávio Campos,19126904596,96.0,09/10/2025,"largo de mendes, 64 vila califórnia 58385-065 da cruz das flores / pb",PI
Sra. Clara Alves,65463247059,96.0,,,AC
Carlos Eduardo Rezende,87386047932,96.0,19/08/2034,vila cavalcanti são jorge 2ª seção 69290-299 campos de da costa / to,DF
Maria Alice Carvalho,29893069221,96.0,09/03/2026,pátio de novaes vila oeste 14331-228 peixoto alegre / ac,AP
Augusto Melo,33788504959,96.0,10/03/2044,"ladeira de nunes, 9 campo alegre 89161-070 nunes de goiás / al",MA
João Fernandes,43989713199,75.0,09/12/1949,"chácara mariana monteiro, 76 joão pinheiro 69945916 correia de nunes / sc",AP
Dr. Eduardo Da Rocha,27897470007,96.0,06/09/2026,"trecho de pires, 90 nossa senhora da conceição 17306-874 costa / al",RN
Nicolas Das Neves,95555261080,96.0,,,PR
Joaquim Da Costa,13103229762,92.0,22/06/1932,"alameda camila ramos, 5 tiradentes 90579324 nogueira do sul / ce",DF
Luigi Castro,41483044523,96.0,19/03/1900,"ladeira caroline fogaça, 510 alto caiçaras 50531-868 viana / sp",AL
Maria Alice Nunes,97217058055,96.0,09/08/2037,"feira pires, 2 acaiaca 90848570 moura / sc",PB
