nome,cpf,data_nascimento,idade,endereco,estado,pais
Ana Laura da Rosa,85764605084,02/04/2046,114.0,"Núcleo Maysa Pires, 251 Monte Azul 72867120 Moura / RS",PR,Brasil
Maria Alice Gomes,80280100867,16/10/1922,102.0,"Distrito de Cardoso, 2 Vista Alegre 53405-943 Monteiro / MG",GO,Brasil
Luiz Gustavo Gomes,30584255322,22/11/1917,112.0,"Praia de Barros, 36 Vila Trinta E Um De Março 23317-868 Cardoso do Sul / ES",PR,Brasil
Dra. Rebeca Ferreira,99235462428,18/03/1908,100.0,Pátio de Moreira São Jorge 3ª Seção 48126-453 Campos de da Cunha / RS,MS,Brasil
Otávio da Costa,33311598112,28/09/2042,6.0,"Recanto Danilo Silveira, 22 Biquinhas 18966541 Vieira das Pedras / GO",MT,Brasil
Larissa da Luz,23802732517,19/07/2039,111.0,"Sítio de Martins, 53 Heliopolis 88196-275 Jesus das Flores / SC",MS,Brasil
Srta. Daniela Campos,79658182136,12/07/2026,103.0,"Lagoa de Aragão, 78 Lindéia 14750928 Caldeira de Porto / RJ",RS,Brasil
Clarice Gomes,30967713646,08/05/2039,15.0,"Sítio Luiz Gustavo Martins, 1 Vila São Rafael 67136-358 Rezende do Sul / AC",MT,Brasil
Cauã Gonçalves,42828264846,08/03/1900,5.0,"Ladeira André Fogaça, 5 Inconfidência 38376533 da Cruz / MA",RS,Brasil
Elisa Lopes,61716999202,28/07/1908,11.0,Quadra Pereira Havaí 83096-069 das Neves / MG,PI,Brasil
Camila Barbosa,67119044189,27/01/2027,11.0,Recanto Isis Barros Padre Eustáquio 15086239 Dias de da Rosa / RR,TO,Brasil
João Miguel Nunes,46852405512,01/05/2035,113.0,"Feira de Teixeira, 32 Novo Santa Cecilia 84579-242 Campos de da Luz / SE",AM,Brasil
Marcelo Santos,57192737605,01/04/2050,100.0,"Morro Sophia da Luz, 62 Guaratã 28758-441 da Cunha Verde / RN",PR,Brasil
Alexia Nascimento,20131157007,17/04/2028,5.0,"Jardim de Pereira, 68 Barroca 49187577 Fernandes de da Rosa / RR",MT,Brasil
Lorena Pereira,52097587805,05/08/1926,103.0,"Chácara Pereira, 733 Álvaro Camargos 88628-830 Lopes / AL",GO,Brasil
Dra. Ana Carolina Fogaça,17980915542,19/06/2029,107.0,"Trecho de Santos, 6 Cônego Pinheiro 1ª Seção 48724820 Cunha / DF",MT,Brasil
Dr. Luiz Miguel Moraes,14063724747,,,,SC,Brasil
Brenda Gonçalves,42565232660,17/02/2033,116.0,"Área Nascimento, 96 Mangabeiras 32185-085 Caldeira / SP",AC,Brasil
Mirella Pereira,32220003094,26/05/1940,10.0,Lagoa Gomes Vila Jardim São José 42895980 Lopes / RS,CE,Brasil
Maria Luiza Novaes,79835167959,,,,AM,Brasil
Juliana Oliveira,70832824175,13/09/2044,119.0,"Trecho da Cruz, 73 Minas Caixa 79027698 Nogueira / AL",RO,Brasil
Manuela Mendes,87829299837,,,,AM,Brasil
Alexandre Cardoso,30580844390,12/08/1924,7.0,"Travessa da Paz, 66 Santo André 80622-465 Cardoso / GO",RS,Brasil
Catarina Barros,80924355486,19/04/2045,101.0,"Núcleo da Rocha, 1 Carmo 31891368 Castro / CE",DF,Brasil
Daniela Rodrigues,74967125555,24/03/2033,114.0,"Área de Lima, 52 Diamante 37357563 Silveira do Sul / AP",RS,Brasil
Sra. Nicole Jesus,70888189124,03/05/1914,5.0,"Condomínio Gabriela Cardoso, 68 Lindéia 99493-608 Nascimento Paulista / CE",SE,Brasil
Sr. Luiz Fernando Souza,85494126362,08/01/2030,105.0,"Fazenda de Oliveira, 66 Califórnia 82377615 da Conceição do Oeste / AC",GO,Brasil
Thiago Melo,44259620615,01/10/2039,10.0,"Alameda Almeida, 563 Vila Maria 50053960 Farias / RR",RS,Brasil
Mirella Moura,89332322146,08/09/1915,119.0,"Viela de da Mata, 35 Graça 73356-234 Costa do Sul / TO",MS,Brasil
Yasmin Vieira,79139287708,10/08/1901,5.0,"Rua Ana Carolina Nunes, 4 Santa Monica 49862120 Moraes de Mendes / PB",GO,Brasil
Gustavo Santos,47850869245,12/05/2038,10.0,"Loteamento Nicole da Conceição, 10 Pantanal 68802-243 Jesus dos Dourados / AP",MG,Brasil
Henrique Martins,69750797033,17/08/2030,113.0,"Recanto Yago Oliveira, 59 Aarão Reis 84045633 Porto / SC",MT,Brasil
Maria Sophia Souza,49798721907,,,,SE,Brasil
Yasmin da Mata,29864555103,11/10/1933,111.0,"Praça Teixeira, 80 Alto Das Antenas 65257-074 Viana / SP",SE,Brasil
Natália Rocha,51125499561,23/08/1919,103.0,"Praça Renan Pires, 2 São Gabriel 98091-470 Pires Grande / CE",RO,Brasil
Davi Lucca Rezende,29048127076,22/10/2039,7.0,"Morro Ana Júlia Nunes, 63 Bom Jesus 33735490 Araújo dos Dourados / RJ",RO,Brasil
Cauê Gonçalves,96019979426,23/04/2039,3.0,"Passarela Thiago Almeida, 97 Gutierrez 45863-740 Rezende / SP",RR,Brasil
Brenda Carvalho,27505540277,19/07/1929,115.0,Vila de Pinto Nossa Senhora Da Aparecida 44569-021 Melo / RN,PR,Brasil
Srta. Marina Monteiro,52066928896,10/11/2043,8.0,"Quadra de Santos, 97 Castelo 93344-180 Silva / RR",AP,Brasil
Nicolas Santos,68795214974,02/08/1925,8.0,"Colônia Ramos, 54 Vila Atila De Paiva 59208-181 Oliveira / AP",SC,Brasil
Gabriela da Cunha,94994533833,03/04/1939,1.0,"Distrito de Rezende, 4 Lagoinha Leblon 08816-064 Viana / SE",TO,Brasil
Rebeca Teixeira,78905426863,21/09/2037,7.0,"Trecho de Ferreira, 755 Jardim Guanabara 70065-500 Lima de Almeida / MG",RN,Brasil
Erick Fogaça,12955942066,28/07/2040,115.0,Avenida de Moura Marieta 1ª Seção 30531337 da Rocha de Fogaça / PE,SC,Brasil
Maria Alice da Cunha,55452637915,08/10/1911,7.0,"Área Gabriela Barros, 23 Cônego Pinheiro 2ª Seção 38198780 da Costa / BA",AC,Brasil
Maria Alice Lopes,49190308181,06/11/2025,1.0,"Pátio João Vitor Pires, 42 Ipe 63397693 da Conceição Alegre / ES",PA,Brasil
Antônio Viana,62364212775,14/02/1913,109.0,Travessa Marcelo Nascimento Cidade Nova 91366-325 Pereira / CE,MA,Brasil
Caio Monteiro,40974302568,13/12/1914,107.0,"Trevo da Cruz, 98 Santa Monica 89955860 Ramos dos Dourados / RO",CE,Brasil
Renan Moreira,57668787561,20/04/1939,0.0,"Morro da Luz, 97 Petropolis 73971084 Lima / SE",PR,Brasil
Maria Luiza Pinto,78889915428,11/01/1948,4.0,Viaduto Ana Vitória Nunes Jaqueline 79446-546 Lopes / SC,PE,Brasil
Thiago da Cruz,74561975256,21/07/2036,104.0,"Lagoa Levi Moura, 5 Gameleira 80301420 Pinto / SP",SC,Brasil
Miguel Monteiro,68099738957,11/07/1918,0.0,"Jardim Sofia Fogaça, 681 Milionario 19616165 Costa do Norte / PE",PB,Brasil
Sra. Pietra Fogaça,90296134120,,,,GO,Brasil
Rafael Novaes,16033071703,04/09/2044,117.0,"Rua de da Mota, 76 Santa Margarida 20216-797 Almeida do Campo / SP",AP,Brasil
Luiz Otávio Campos,19126904596,09/10/2025,14.0,"Largo de Mendes, 64 Vila Califórnia 58385-065 da Cruz das Flores / PB",PI,Brasil
Sra. Clara Alves,65463247059,,,,AC,Brasil
Carlos Eduardo Rezende,87386047932,19/08/2034,108.0,Vila Cavalcanti São Jorge 2ª Seção 69290-299 Campos de da Costa / TO,DF,Brasil
Srta. Elisa Freitas,54505675670,23/02/1906,118.0,Condomínio Pinto São Francisco 42358-212 Martins do Sul / MA,PA,Brasil
Maria Alice Carvalho,29893069221,09/03/2026,15.0,Pátio de Novaes Vila Oeste 14331-228 Peixoto Alegre / AC,AP,Brasil
Augusto Melo,33788504959,10/03/2044,111.0,"Ladeira de Nunes, 9 Campo Alegre 89161-070 Nunes de Goiás / AL",MA,Brasil
João Fernandes,43989713199,09/12/1949,120.0,"Chácara Mariana Monteiro, 76 João Pinheiro 69945916 Correia de Nunes / SC",AP,Brasil
Dr. Eduardo da Rocha,27897470007,06/09/2026,0.0,"Trecho de Pires, 90 Nossa Senhora Da Conceição 17306-874 Costa / AL",RN,Brasil
Nicolas das Neves,95555261080,,,,PR,Brasil
Joaquim da Costa,13103229762,22/06/1932,14.0,"Alameda Camila Ramos, 5 Tiradentes 90579324 Nogueira do Sul / CE",DF,Brasil
Luigi Castro,41483044523,19/03/1900,120.0,"Ladeira Caroline Fogaça, 510 Alto Caiçaras 50531-868 Viana / SP",AL,Brasil
Maria Alice Nunes,97217058055,09/08/2037,15.0,"Feira Pires, 2 Acaiaca 90848570 Moura / SC",PB,Brasil
Breno da Mota,33309393052,25/05/2050,2.0,Colônia de Vieira Boa Vista 67140-419 da Cruz da Mata / GO,ES,Brasil
Carolina Santos,67504286080,18/06/2047,105.0,"Vila Ramos, 30 Buraco Quente 94467661 Ferreira / SC",PR,Brasil
Luana Silva,35747742149,,,,MT,Brasil
